preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
290000.0,272.0,68.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,0,0
585000.0,450.0,90.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
350000.0,400.0,97.0,3.0,2.0,1.0,Vitória,Mata da Praia,apartamento,1,0,0,0,1,0,0,0,0
535000.0,700.0,125.0,3.0,3.0,1.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,0,0,0
505000.0,450.0,66.0,2.0,1.0,1.0,Vitória,Mata da Praia,apartamento,0,0,0,0,1,0,0,0,0
510000.0,300.0,114.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
495000.0,980.0,130.0,3.0,3.0,2.0,Vitória,Santa Helena,apartamento,1,0,1,1,1,1,1,1,0
504000.0,0.0,70.0,2.0,2.0,1.0,Vitória,Praia do Suá,apartamento,1,0,1,1,1,1,1,1,1
485000.0,390.0,63.0,2.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,0,1,1,1,1,1,0,1,0
527000.0,0.0,64.0,2.0,2.0,1.0,Vitória,Santa Helena,apartamento,0,1,0,1,1,0,1,1,1
239900.0,320.0,65.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,1,1,0,0
439900.0,340.0,79.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,0,1,1,0,1,1,1,1,0
730000.0,450.0,140.0,2.0,2.0,2.0,Vitória,Jardim Camburi,cobertura,0,1,1,1,1,0,0,1,0
395000.0,300.0,59.0,2.0,1.0,1.0,Vitória,Monte Belo,apartamento,1,0,1,1,1,0,0,0,0
440000.0,0.0,120.0,3.0,2.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,1,0,1,0,0,0,0
320000.0,300.0,67.0,3.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
484472.0,0.0,67.0,2.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
389900.0,450.0,86.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,1,1,1,0
487500.0,420.0,67.0,2.0,2.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,0,0,0,0,0,0,0
450000.0,250.0,180.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,0,0,1,0,0,0,0
370000.0,0.0,62.0,2.0,1.0,2.0,Vitória,Horto,apartamento,1,0,1,1,1,0,0,0,0
476382.0,300.0,70.0,2.0,2.0,1.0,Vitória,Praia do Suá,apartamento,0,0,0,1,1,0,0,0,0
460000.0,0.0,71.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
350000.0,280.0,75.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,0,0
240000.0,0.0,65.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
590000.0,430.0,114.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
255000.0,320.0,60.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,0,1,0,0
488000.0,0.0,80.0,1.0,2.0,1.0,Vitória,Ilha de Santa Maria,apartamento,1,0,1,1,1,0,0,0,0
370000.0,0.0,61.0,2.0,1.0,2.0,Vitória,Horto,apartamento,1,0,0,1,1,0,0,0,0
510000.0,600.0,140.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
330000.0,0.0,56.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
300000.0,310.0,72.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
629000.0,400.0,96.0,3.0,2.0,2.0,Vitória,Enseada do Suá,apartamento,0,0,0,0,0,0,0,0,0
306000.0,0.0,54.0,1.0,1.0,1.0,Vitória,Ilha de Santa Maria,apartamento,0,0,1,0,1,0,0,0,0
750000.0,700.0,136.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
480000.0,340.0,110.0,3.0,2.0,1.0,Vitória,Santa Luíza,apartamento,0,0,0,0,0,0,0,0,0
820000.0,500.0,110.0,2.0,3.0,0.0,Vitória,Jardim da Penha,apartamento,0,1,0,1,1,1,1,1,0
310000.0,400.0,150.0,3.0,3.0,1.0,Vitória,Parque Moscoso,apartamento,0,1,0,0,0,0,0,1,0
760000.0,900.0,108.0,2.0,3.0,2.0,Vitória,Praia do Canto,apartamento,1,1,1,1,1,0,0,1,1
400000.0,350.0,88.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,1,0
470000.0,370.0,100.0,3.0,2.0,1.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
150000.0,400.0,50.0,1.0,1.0,1.0,Vitória,Centro,apartamento,0,1,0,0,0,0,1,1,0
245900.0,300.0,55.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,1,1,1,0
298000.0,240.0,86.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,0,0,0
320000.0,350.0,62.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,1,1,0,0,1,0
365000.0,0.0,67.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
502000.0,0.0,84.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,1,1,0,1,1,1
950000.0,0.0,144.0,4.0,3.0,3.0,Vitória,Praia do Suá,apartamento,0,0,1,1,1,0,0,0,0
512000.0,450.0,90.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,1,0,1,0
264900.0,0.0,50.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,1,0,1,0
370000.0,340.0,70.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,0,1,1,0,0,0,0
255000.0,0.0,50.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,0,0,1,1,1,1,0
297928.0,0.0,54.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,0,0,0,0,0
514900.0,490.0,90.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,1,1,1,1,1,0,1,1,0
330000.0,0.0,52.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,1,1,1,1
460000.0,380.0,72.0,2.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,1,0,1,0
350000.0,450.0,79.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,0,0,1,0,0,0,0
334900.0,0.0,95.0,2.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,1,1,0,0,1,1
1350000.0,650.0,150.0,4.0,5.0,2.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,1,1,1,0
950000.0,0.0,160.0,3.0,3.0,2.0,Vitória,Jardim Camburi,cobertura,1,1,1,0,0,1,1,1,0
450000.0,400.0,80.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,0
655000.0,0.0,83.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,1,1,0,1,1,0
590000.0,0.0,88.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,0,1,1,0
520000.0,390.0,115.0,3.0,3.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,1
285000.0,270.0,55.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,1,0,1,0
395000.0,634.0,75.0,2.0,2.0,1.0,Vitória,Enseada do Suá,apartamento,0,0,0,0,0,0,0,0,0
399000.0,180.0,98.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,0,0,0,0,0,0,0
790000.0,590.0,100.0,3.0,3.0,2.0,Vitória,Santa Luíza,apartamento,0,1,1,1,1,1,1,1,0
440000.0,0.0,64.0,2.0,2.0,2.0,Vitória,Santa Helena,apartamento,0,0,1,1,1,1,1,1,1
460000.0,350.0,84.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
1050000.0,900.0,125.0,4.0,2.0,1.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
860000.0,0.0,130.0,3.0,2.0,2.0,Vitória,Mata da Praia,cobertura,0,1,1,0,0,1,1,1,0
150000.0,300.0,65.0,2.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,0,0,0,0
275000.0,0.0,60.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,0,1,1,1,0
400000.0,370.0,130.0,4.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,0,0,1,0,0,0,0
150000.0,300.0,65.0,2.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
295000.0,250.0,69.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,0,0,0
819900.0,0.0,130.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,1,1,0,1,1,1,1,0
269900.0,355.0,59.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,1,1,1,0
585000.0,0.0,78.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
819900.0,500.0,130.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,1,1,0,0,0,0,0,0
300000.0,400.0,130.0,3.0,1.0,0.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
620000.0,520.0,103.0,3.0,2.0,2.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
438000.0,551.0,120.0,3.0,3.0,1.0,Vitória,Santa Luíza,apartamento,0,0,0,0,0,0,0,0,0
650000.0,683.0,125.0,3.0,2.0,1.0,Vitória,Santa Lúcia,apartamento,1,0,1,1,1,0,0,0,0
620000.0,776.0,146.0,4.0,2.0,2.0,Vitória,Santa Helena,apartamento,1,0,1,1,1,0,0,0,0
300000.0,350.0,63.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
269000.0,300.0,55.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,1,1,1,0
240000.0,0.0,65.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,1,1,1,0,0
750000.0,650.0,100.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
750000.0,600.0,85.0,3.0,2.0,2.0,Vitória,Bento Ferreira,apartamento,0,0,0,1,1,1,1,0,1
530000.0,400.0,70.0,2.0,2.0,2.0,Vitória,Praia do Canto,apartamento,1,1,1,1,1,1,1,1,1
190000.0,242.0,47.0,1.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,0,0,0,0
650000.0,600.0,85.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,0,1,1,0,0,0,0
380000.0,0.0,80.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,1,1,0,1,0,0,0,0
244000.0,0.0,59.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,1,0,1,0
600000.0,650.0,85.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,1,1,1,0
650000.0,407.0,90.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
880000.0,0.0,114.0,3.0,3.0,2.0,Vitória,Mata da Praia,apartamento,0,0,1,0,0,0,0,0,0
530000.0,550.0,75.0,2.0,3.0,1.0,Vitória,Praia do Canto,apartamento,1,1,1,1,1,0,1,1,1
899000.0,720.0,120.0,3.0,3.0,2.0,Vitória,Praia do Canto,apartamento,0,1,1,1,1,1,1,1,0
980000.0,0.0,100.0,3.0,2.0,2.0,Vitória,Mata da Praia,apartamento,0,0,1,0,0,0,0,0,0
350000.0,0.0,55.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,1,0,1,1,0
819900.0,0.0,130.0,2.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,1,1,0,1,0
433514.0,0.0,71.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
600000.0,495.0,80.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,1,1,1,1,0
380000.0,400.0,58.0,2.0,2.0,2.0,Vitória,Bento Ferreira,apartamento,1,1,1,1,1,0,1,1,1
350000.0,361.0,70.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,1,0,1,0
210000.0,200.0,80.0,2.0,2.0,1.0,Vitória,Maruípe,apartamento,0,1,0,0,0,0,0,0,0
469900.0,250.0,64.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
375000.0,400.0,118.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,1,0,0
308000.0,0.0,51.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,1,1,1,0,1,1,0
630000.0,750.0,110.0,3.0,3.0,2.0,Vitória,Bento Ferreira,apartamento,0,1,1,0,0,0,0,0,0
650000.0,600.0,110.0,3.0,3.0,2.0,Vitória,Praia do Suá,apartamento,0,0,0,0,0,0,0,0,0
210000.0,270.0,140.0,3.0,2.0,0.0,Vitória,Centro,apartamento,0,1,0,0,1,0,0,0,0
450000.0,0.0,86.0,3.0,2.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
749999.0,0.0,120.0,4.0,3.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
292000.0,0.0,58.0,2.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,1,0,0,1,0
250000.0,0.0,80.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,0,1,1,0,0,0,0
540000.0,510.0,82.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
680000.0,1050.0,120.0,3.0,3.0,2.0,Vitória,Enseada do Suá,apartamento,1,1,1,1,1,0,0,1,0
300000.0,370.0,62.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,0,1,1,0
244000.0,0.0,50.0,2.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
410000.0,362.0,50.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,1,0
700000.0,700.0,140.0,4.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
750000.0,624.0,110.0,3.0,3.0,2.0,Vitória,Bento Ferreira,apartamento,0,1,1,1,1,0,1,1,1
300000.0,200.0,90.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,0,0,1,0,0,0,0
639900.0,580.0,86.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
280000.0,250.0,50.0,2.0,1.0,1.0,Vitória,Centro,apartamento,1,0,0,0,1,0,0,0,0
1450000.0,1.0,178.0,4.0,2.0,3.0,Vitória,Bento Ferreira,apartamento,0,0,0,0,0,0,0,0,0
650000.0,420.0,94.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
984400.0,0.0,126.0,3.0,1.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
840907.0,0.0,69.0,2.0,1.0,2.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
598200.0,0.0,66.0,2.0,1.0,1.0,Vitória,Santa Luíza,apartamento,1,0,1,1,1,0,0,0,0
255000.0,0.0,46.0,2.0,1.0,1.0,Vitória,Maruípe,apartamento,1,0,1,1,1,0,0,0,0
360000.0,300.0,57.0,2.0,1.0,1.0,Vitória,Enseada do Suá,apartamento,1,0,1,1,1,0,0,0,0
307101.0,0.0,49.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,0,1,0,0,0,0
735000.0,540.0,85.0,3.0,1.0,2.0,Vitória,Enseada do Suá,apartamento,0,0,0,0,0,0,0,0,0
400000.0,450.0,123.0,3.0,2.0,2.0,Vitória,Bento Ferreira,apartamento,0,0,1,0,1,0,0,0,0
460000.0,400.0,62.0,2.0,1.0,2.0,Vitória,Bento Ferreira,apartamento,1,0,0,1,1,0,0,0,0
